编号,短信内容（法语）,"标签(1=垃圾,0=正常)",类别,备注
FR0624,"Je l'ai eu avant la nouvelle année parce qu'elle a dit qu'elle voulait vous surprendre avec elle, mais quand je n'ai pas vu l'argent je l'ai retourné mi janvier avant la période de retour de jour de &lt;#&gt; terminé.",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0625,"Services SMS. pour vos crédits texte inclus, pls goto www.comuk.net login= ***** désabonnement avec STOP. sans frais supplémentaires. help:08700469649. PO BOX420. IP4 5WE",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0626,"GRATUITEMENT RING TONE text juste ""POLYS"" à 87131. Puis chaque semaine obtenir un nouveau ton. 0870737910216ans seulement £1.50/wk.",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0627,J'attends votre appel.,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0628,"Gratuit Msg: obtenir Gnarls Barkleys ""Crazy"" sonnerie TOTALEMENT GRATUIT juste répondre Aller à ce message dès maintenant!",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0629,à partir de www.Applausestore.com MensuelAbonnement@50p/msg max6/mois T&CsC web age16 2stop txt stop,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0630,Tu dors toute la matinée?,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0631,Tu t'approches ou tu restes chez Alex?,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0632,"Félicitations - Merci à un bon ami U ont WON le prix £2.000 Xmas. 2 réclamation est facile, il suffit d'appeler 08712103738 MAINTENANT! Seulement 10p par minute. BT-national-tarif",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0633,"Je tot u dehors cos darren dire u venir faire du shopping. Bien sûr, nous sommes gentils wat. Nous sommes allés sim lim regarder le lecteur mp3.",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0634,"Oh... Icic... K lor, den meeting l'autre jour...",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0635,"Da ma date de naissance dans le certificat est en avril, mais la vraie date est aujourd'hui. Mais ne la publiez pas. Je vous donnerai un cadeau spécial si vous gardez le secret.",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0636,18 jours avant le lancement de l'Euro2004! U sera tenu informé de toutes les dernières actualités et résultats quotidiens. Désabonnement envoyer GET EURO STOP à 83222.,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0637,"Oh, alors ton téléphone m'a téléphoné mais il a déconnecté",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0638,"Hey doux, je me demandais quand vous avez eu un moment si vous pouviez venir à moi? Je veux envoyer un fichier à quelqu'un mais il ne va pas passer par yahoo pour eux parce que leur connexion craint, rappelez-vous quand vous avez configuré cette page pour que j'aille à et télécharger le disque de format? Pouvez-vous me dire comment faire cela? Ou savez-vous un autre moyen de télécharger de gros fichiers? Parce qu'ils peuvent télécharger des choses directement à partir d'Internet. Toute aide serait géniale, ma proie... *baiser baiser*",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0639,"Sacs à ordures, œufs, confiture, pain, fromage de blé d'Hannaford",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0640,Le solde de trésorerie de l'Ur est actuellement de 500 livres - pour maximiser l'encaissement de l'Ur maintenant envoyer CASH à 86688 seulement 150p/msg. CC: 08708800282 HG/Suite342/2Lands Row/W1J6HL,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0641,Je ne peux pas croire à quel point je suis attaché à te voir tous les jours. Je sais que tu feras de ton mieux pour m'atteindre bébé.,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0642,Avait votre mobile 11mths? Mise à jour gratuite aux derniers appareils photo couleur Oranges mobiles et appels illimités week-end. Appelez Mobile Upd8 sur freefone 08000839402 ou 2StopTxt,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0643,Dépêchez-vous de rentrer.,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0644,"Nouveaux tons Cette semaine comprennent: 1) McFly-All Ab.., 2) Sara Jorge-Shock.. 3) Will Smith-Switch.. Pour commander suivre les instructions sur le message suivant",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0645,"BangBabes Ur commande est en route. U DOIT recevoir un Service Msg 2 télécharger le contenu UR. Si U ne pas, GoTo wap. bangb. tv sur le menu UR mobile internet/service",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0646,Hard LIVE 121 chat just 60p/min. Choisissez votre fille et connectez-vous LIVE. Appelez 09094646899 maintenant!,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0647,Vous voulez 2 se faire baiser ce soir? Vous voulez de vrais emplacements de dogging envoyés directement 2 ur maf? Rejoignez le plus grand réseau de dogging du Royaume-Uni bt Txting GRAVEL à 69888! Nt. ec2a. 31p.msg@150p,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0648,"C'est ok, si quelqu'un me demande abt, u tel them..:-P",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0649,4mths moitié prix Orange ligne location & dernière caméra téléphones 4 GRATUIT. Avait votre téléphone 11mths? Appelez MobilesDirect gratuitement le 08000938767 à mettre à jour maintenant! ou2stoptxt,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0650,PRIVÉ! Votre relevé de compte de 2003 pour 07808247860 indique 800 points S. I. M. non revus. Appelez le 08719899229 Code d'identification: 40411 Expire 06/11/04,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0651,"Ce qui est important, c'est que vous préveniez la déshydratation en lui donnant suffisamment de liquides.",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0652,Qu'est-ce que tu as prévu pour ta Valentine?,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0653,"Bon, à tout à l'heure.",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0654,R u sur ce continent?,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0655,"Oui, probablement mais pas sûr. Ilol nous le fait savoir, mais personnellement je ne m'embête pas, puis encore si vous allez à alors je râle aussi!!",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0656,MSG GRATUIT:Nous avons facturé votre numéro de téléphone mobile par erreur à partir du shortcode 83332.Veuillez appeler le 08081263000 pour que les frais soient remboursés.Cet appel sera gratuit d'une ligne fixe BT,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0657,"Voici votre code de réduction RP176781. Pour arrêter d'autres messages, arrêtez de répondre. www.regalportfolio.co.uk. Services à la clientèle 08717205546",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0658,Bonjour. Nous avons besoin de quelques oiseaux chics et des chaps à l'utilisateur essai prods pour les champions. Puis-je vous poser? J'ai besoin de votre adresse et dob asap. Ta r,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0659,Je ne suis pas du tout content de ce que vous dites ou faites,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0660,S'il vous plaît APPELEZ 08712402902 immédiatement car il y a un message urgent vous attendant.,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0661,Texte et rencontrez quelqu'un de sexy aujourd'hui. U peut trouver une date ou même flirter son jusqu'à U. Joindre 4 juste 10p. RÉPONSER avec NAME & AGE par exemple Sam 25. 18 -msg recd@thirtyheight pence,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0662,"Je vous promets de m'occuper de vous, princesse.",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0663,A partir du mois prochain obtenir jusqu'à 50% Plus Appels 4 Ur charge réseau standard 2 activer Appel 9061100010 C Wire3.net 1st4Terms PoBox84 M26 3UZ Coût £1.50 min MobcudB plus,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0664,C'est le courrier normalement chaud.,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0665,Jamster! Pour obtenir votre texte papier peint gratuit HEART à 88888 maintenant! T&C appliquer. 16 seulement. Besoin d'aide? Appelez 08701213186.,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0666,Aujourd'hui les numéros Voda se terminant 1225 sont sélectionnés pour recevoir un £50award. Si vous avez une correspondance s'il vous plaît appelez 08712300220 citant le code de réclamation 3100 taux standard app,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0667,Burger King - Vous voulez jouer au footy dans un stade haut? Obtenez 2 Burger King avant le 1er sept et aller Grand ou Super avec Coca-Cola et sortir un gagnant,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0668,Devinez quoi! Quelqu'un que vous connaissez secrètement vous! Vous voulez savoir qui c'est? Appelez-nous sur 09065394514 De Landline DATEBox1282EssexCM61XN 150p/min 18,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0669,K Je m'en occupe.,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0670,Texte BANNEDUK à 89555 pour voir! coût 150p textoperator g696ga 18+ XXX,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0671,Get ur 1st RINGTONE GRATUITEMENT! Répondre à ce msg avec TONE. Gr8 TOP 20 tons à votre téléphone chaque semaine juste £1.50 par wk 2 opt out envoyer STOP 08452810071 16,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0672,"Hmm, trop d'entre eux malheureusement... les pics ne sont évidemment pas des gâteaux chauds.",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0673,"Oui, ne va pas te coucher, je reviens avant minuit.",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0674,Salut darlin im sur helens fone im va monter les princes 2 nite s'il te plaît viens tb aimer Kate,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0675,SMS AUCTION - Une nouvelle vente aux enchères Nokia 7250 est en hausse aujourd'hui! La vente aux enchères est GRATUITE 2 joignez-vous et participez! Txt NOKIA à 86021 maintenant!,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0676,Le bus part à &lt;#&gt;,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0677,Vous voulez un nouveau Video Phone? 750 anytime any network mins? Demi-prix ligne de location de texte gratuit pendant 3 mois? Répondre ou appeler 08000930705 pour la livraison gratuite,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0678,opérateur de réseau. Le service est gratuit. Pour la visite de T & C 80488.biz,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0679,D= VIOLET E= TULIP F= LILY txt D E or F to 84025 MAINTENANT 4 chance 2 WIN £100 Cash WKENT/150P16+,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0680,FreeMsg C'est le jour d'aujourd'hui si vous êtes prêt! Je suis excité & vivre dans votre ville. J'aime le sex fun & games! Netcollex Ltd 08700621170150p par msg reply Stop to end,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0681,Caméra - Vous êtes récompensé d'un appareil photo numérique SiPix! appeler 09061221066 dem fixe. Livraison sous 28 jours.,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0682,Hé compagnie Elama po boudyadhu.,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0683,se préparer à gémir et crier :),0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0684,"cmon bébé, me faire excité, *tour* moi sur! Txt moi votre fantasme maintenant bébé -) Im chaud, collant et besoin de vous maintenant. Toutes les réponses coût £1.50. 2 annuler envoyer STOP",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0685,"XXXMobileMovieClub: Pour utiliser votre crédit, cliquez sur le lien WAP dans le prochain message txt ou cliquez ici> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0686,Envoyer un logo 2 ur amant - 2 noms rejoints par un cœur. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 à 87077 Yahoo! POBox36504W45WQ TxtNO 4 pas d'annonces 150p,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0687,"Je me suis endormie, chérie. Prends soin de toi.",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0688,"On dirait que j'avais tort et qu'un des numéros de kappa est toujours sur mon téléphone, si tu veux que je lui envoie un texto pour voir s'il est là.",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0689,"Vous êtes contacté par notre service de rencontres par quelqu'un que vous connaissez! Pour savoir qui c'est, appelez d'une ligne terrestre 09050000928. PoBox45W2TG150P",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0690,RGENT! C'est la 2e tentative de contacter U!U ont WON £1250 APPEL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. max £7.50,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0691,Nous avons essayé de vous contacter re votre réponse à notre offre de 750 minutes 150 texte et un nouveau téléphone vidéo 08002988890 maintenant ou répondre à la livraison gratuite demain,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0692,PRIVÉ! Votre relevé de compte de 2003 pour 07973788240 indique 800 points S. I. M. non revus. Appelez le 08715203649 Code d'identification: 40533 Expire 31/10/04,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0693,"Les billets de Noël & Nouvel An sont maintenant en vente depuis le club, pendant la journée de 10h à 20h, et la nuit de Thurs, Fri & Sat cette semaine. Ils sont en vente rapide!",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0694,"Alors, tu travailles dans le nigpun des heures supplémentaires?",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0695,"Hauteur de confiance: Tous les professeurs d'aéronautique ont appelé &amp; ils ont demandé 2 assis dans un avion. Aftr ils se sont assis ils ont dit à dat l'avion ws fait par leurs étudiants. Dey tous précipités hors de l'avion.. Bt seulement 1 n'a pas bougé... Il a dit: ""Si c'est fait par mes étudiants, cela ne commencera même pas... Datz confiance...",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0696,Si vous textez sur votre chemin à l'arrêt de tasse qui devrait fonctionner. Et cela devrait être BUS,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0697,sonnerie 84484,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0698,"RAPPEL DE O2: Pour obtenir 2,50 livres de crédit d'appel gratuit et les détails des grandes offres pls réponse 2 ce texte avec votre nom valide, maison no et code postal",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0699,"Ils ont dit que si elle allait neiger, elle commencerait vers 20 ou 21 h. Ils prédisent un pouce d'accumulation.",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0700,"Fais-moi confiance, même si elle n'est pas là.",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0701,"Ouais vas-y alors, ennuyé et déprimé sittin attendre que le téléphone sonne... Espérons que le vent tombe, effrayant",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0702,Vous pouvez me retrouver au Sunoco sur Howard?,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0703,Wat est de ton côté.,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0704,"Vous avez gagné des tkts à l'EURO2004 CUP FINAL ou £800 CASH, pour collecter CALL 09058099801 b4190604, POBOX 7876150ppm",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0705,2marrow seulement. Wed à &lt;#&gt; à 2 aha.,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0706,"SPJanvier Male Sale! Hot Gay chat maintenant moins cher, appelez 08709222922. Tarif national de 1,5p/min pas cher à 7,8p/min pic! Pour arrêter les textes appelez 08712460324 (10p/min)",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0707,"Ils peuvent essayer! Ils peuvent se perdre, en fait.",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0708,"Dieu merci, ils sont au lit!",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0709,"Les photos les plus chaudes directement sur votre téléphone!! Voir moi obtenir humide et Wanting, juste pour vous xx Texte PICS à 89555 maintenant! txt coûte 150p textoperator g696ga 18 XxX",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0710,"Avait votre mobile 10 mths? Mettre à jour les derniers appareils photo/téléphones vidéo gratuitement. TENIR EN MÊME NUMÉRO, Obtenir des minutes/textes gratuits supplémentaires. Texte OUI pour un appel",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0711,"Tu es partout la saleté, sur le sol, les fenêtres, même sur ma chemise. Et parfois quand j'ouvre la bouche, tu es tout ce qui sort. Je rêve de mon monde sans toi, alors la moitié de mes tâches sont dehors aussi. Un temps de joie pour moi, beaucoup de télés que je vais voir. Mais je suppose que comme tout ce que tu dois juste exister, comme la pluie, la grêle et la brume, et quand mon temps ici est fini, toi et moi devenons un.",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0712,Je vais déjeuner 4 maintenant avec ma famille puis à l'arrière je vais str 2 verger lor.,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0713,"Pas de mec, ce n'est pas faux.. mes frnds ont de l'argent, thts y i'm reffering u..if u member wit my mail link, u vl be crédited &lt;#&gt; rs et il be getiing &lt;#&gt; rs..i peut dessiner mon acc wen c'est &lt;#&gt; rs..",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0714,"Je suis de retour, je sais quand tu es prête.",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0715,Quand est-ce que papa est revenu.,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0716,Est-ce que tu as eu cette histoire de personnes,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0717,PRIVÉ! Votre relevé de compte de 2003 pour les montants de 800 points non remboursés S. I. M. Appelez le 08718738002 Code d'identification: 48922 Expires 21/11/04,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0718,Rien de tout ça ne se passe jusqu'à ce que tu arrives ici.,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0719,"Pour votre chance de gagner 250 £ d'argent par wk TXT: ACTION à 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0720,Match started.india &lt;#&gt; pour 2,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0721,Yo nous regardons un film sur netflix,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0722,Bienvenue! Veuillez répondre avec votre AGE et GENDER pour commencer. p.ex. 24M,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0723,"Vous pouvez arrêter d'autres tonalités club en répondant à ""STOP MIX"" Voir my-tone.com/enjoy. html pour les termes. Tonalités club coût GBP4.50/semaine. MFL, PO Box 1146 MK45 2WT (2/3)",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0724,"YOU VE WON! Votre 4* Costa Del Sol Holiday or £5000 wait collection. Appelez 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0725,URGENT! Nous essayons de contacter U. Todays draw montre que vous avez gagné un prix de £2000 GUARANTIEED. Appelez 09058094507 de la ligne terrestre. Réclamation 3030. Valable 12 heures seulement,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0726,"Le LAY MAN! Juste pour vous faire savoir qu'on vous a manqué et pensé. Passez une bonne journée. Et si vous pouvez m'envoyer les numéros de bimbo et d'ougo, mauvaise appréciation.",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0727,"44 7732584351, Voulez-vous un nouveau téléphone couleur Nokia 3510i LivréDemain? Avec 300 minutes gratuites pour tout mobile + 100 textes gratuits + réponse Caméscope gratuit ou appelez 08000930705.",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0728,"Merde c'est vraiment choquant et effrayant, ne peut pas imaginer une seconde. Défendez-vous pour la nuit dehors. Est-ce que vous pensez qu'il y a un endroit où je pourrais crasher pour la nuit, économiser au taxi?",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0729,Même chose que le rejet de kallis dans le 2e test :-).,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0730,Il n'est pas seul avec ma mère.,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0731,Un appareil photo numérique SiPix vous est attribué par téléphone au 09061221061. Livraison sous 28jours. Boîte T Cs177. M221BP. Garantie de 2 ans. 150ppm. 16. p£3.99,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0732,Dites-moi quand vous aurez l'argent pour que Carlos puisse passer l'appel.,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0733,"C'est fou qu'il soit marié. J'aime les mecs qui ne me regardent pas. J'ai l'impression de dire qu'il est la fauve de Korean Leona, mais je sais qu'il l'est.",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0734,"Je sais que vous pensez au paludisme, mais détendez-vous, les enfants ne peuvent pas gérer le paludisme. Elle aurait été pire et sa gastro-entérite. Si elle prend assez pour remplacer sa perte de temps va diminuer. Et si vous lui donnez des médicaments contre le paludisme maintenant elle va vomir.",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0735,Je vous souhaite une belle journée. Chaque moment révélant encore plus de choses pour vous garder souriant.,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0736,"Enchère 4. L'offre la plus élevée est maintenant £54. L'offre maximale suivante est £71. Pour soumissionner, envoyez BIDS par exemple 10 (pour soumissionner £10) à 83383. Bonne chance.",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0737,"Merci pour votre commande de sonnerie, numéro de référence X49.Votre mobile sera facturé 4.50. Si votre ton n'arrive pas, veuillez appeler le service clientèle 09065989182",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0738,Sunshine Quiz! Gagnez un super enregistreur de DVD Sony si vous pouvez nommer la capitale de l'Australie? Texte MQUIZ à 82277. B,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0739,Tu sais quand papa reviendra?,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0740,"En conséquence. Je répète, juste envoyer le mot ok sur votre téléphone mobile et envoyer",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0741,Yay ne peut pas attendre de faire la fête ensemble!,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0742,PRIVÉ! Votre relevé de compte 2003 pour les montants de 800 points S.I.M. non remboursés. Appelez le 08718738001 Code d'identification: 49557 Expire 26/11/04,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0743,Dites-moi si vous avez besoin d'autre chose. Salade ou désert ou quelque chose... combien de bières je vais avoir?,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0744,TBS/PERSOLVO. nous pourchassait depuis sept pour £38 certainement pas payer maintenant grâce à vos informations. Nous allons les ignorer. Kath. Manchester.,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0745,Update_Now - 12Mths Half Price Location de ligne orange: 400mins...Appeler MobileUpd8 au 08000839402 ou call2optout=J5Q,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0746,Acheté une sonnerie et maintenant obtenir des textes coûtant 3 livres offrant plus de tons etc,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0747,"Sunshine Quiz Wkly Q! Gagnez un meilleur lecteur de DVD Sony si vous savez quel pays Liverpool a joué en milieu de semaine? Txt ansr à 82277. £1,50 SP:Tyrone",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0748,* GRATUIT* RINGTONE POLYPHONIQUE Text SUPER à 87131 pour obtenir votre TONE POLY GRATUITE de la semaine maintenant! 16 SN PoBox202 NR31 7ZS abonnement 450pw,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0749,PRIVÉ! Votre relevé de compte de 2003 pour <fone no> indique 800 points S. I. M. non revus. Appelez le 08715203656 Code d'identification: 42049 Expire 26/10/04,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0750,Entrée GRATUITE dans notre comp hebdomadaire £250 il suffit d'envoyer le mot ENTER à 84128 MAINTENANT. 18 T&C www.textcomp.com cust care 08712405020.,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0751,A tout à l'heure.,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0752,J'ai besoin que tu sois dans mes bras forts...,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0753,J'ai juste besoin de 2 millions de dollars pour m'occuper de mon plus lourd 2 cum 2 moribonds Lekdog,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0754,"Vous êtes contacté par notre service de rencontres par quelqu'un que vous connaissez! Pour savoir qui c'est, appelez d'une ligne terrestre 09050000878. PoBox45W2TG150P",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0755,Tu peins toujours le mur de l'ur?,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0756,500 msgs texte gratuit. Il suffit de texte ok à 80488 et nous créditerons votre compte,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0757,Appelez FREEPHONE 0800 542 0578 maintenant!,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0758,"Je ne t'ai pas appelé depuis un moment. C'est en espérant que c'était la malaria et que tu sais que tu nous manques les gars. Bani grand me manque, alors pls lui donne mon amour particulièrement. Passez une bonne journée.",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0759,Veuillez appeler Amanda pour le renouvellement ou la mise à niveau de votre combiné T-Mobile actuel gratuitement. L'offre prend fin aujourd'hui. Tel 0845 021 3680 soumis à T's et C's,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0760,Et popping &lt;#&gt; ibuprofens n'a pas été d'aide.,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0761,Nous avons essayé de vous contacter re votre réponse à notre offre de Video Handset? 750 anytime any networks mins? ILLIMITED TEXTE? Caméscope? Répondre ou téléphoner 08000930705 MAINTENANT,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0762,Ur Ur Ur £500 garantie est toujours non réclamé! Appelez 09066368327 MAINTENANT date de clôture04/09/02 code de réclamation M39M51 £1.50pmplusdemobile2Bremooved-MobyPOBox734LS27YF,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0763,"SMSSERVICES. pour vos crédits texte inclus, pls goto www.comuk.net login= 3qxj9 désabonnement avec STOP, sans frais supplémentaires. help 08702840625.COMUK. 220-CM2 9AE",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0764,"Gr8 Poly tonalités 4 TOUTES les maghes directement 2 u rply avec POLY TITLE à 8007 eg POLY BREATHE1 Titres: CRAZYIN, SLEEPINGWITH, FINEST, YMCA:getzed.co.uk POBox365O4W45WQ 300p",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0765,Ü attends 4 moi dans le sch j'ai fini le 5ème.,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0766,Bonne chance! Tirage a lieu le 28 février 06. Bonne chance! Pour le retrait envoyer STOP à 87239 services à la clientèle 08708034412,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0767,"Pour votre chance de WIN un casque Bluetooth GRATUIT puis simplement répondre avec ""ADP""",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0768,"HOT LIVE FANTASIES appelez maintenant 08707509020 Juste 20p par min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 est un appel à tarifs nationaux",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0769,Comment ton frère envoie son numéro à mon skype.,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0770,Cashbin.co.uk (Obtenez beaucoup d'argent ce week-end!) www.cashbin.co.uk Cher Bienvenue au week-end Nous avons obtenu notre plus grand et le meilleur JAMAIS donner en argent!! Ceux-ci..,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0771,PRIVÉ! Votre relevé de compte 2003 pour les chiffres de 800 points S. I. M. non remboursés. Appelez le 08719899230 Code d'identification: 41685 Expires 07/11/04,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0772,Dommage que je ne puisse pas le manger.,0,normal,SpamShield 真实数据（CC-BY-4.0）
