编号,原文（法语）,类型,伪装对象,诈骗手法,判定依据,是否钓鱼,来源,备注
示例149,"Bonjour,

Votre site internet et l'application mobile ma Banque évoluent en conformité avec la réglementation européenne DSP2. Il vise à renforcer l'accès sécurisé à vos comptes en ligne. Ainsi, à compter du 25 septembre 2023, l'accès à votre espace client et à l'application mobile ma Banque requiert une authentification forte.

afin de rester connecté à votre compte, veuillez activer votre numéro de téléphone à partir de votre espace client en cliquant ici.

Votre numéro de téléphone portable est requis pour conserver votre connexion à votre compte. Pour toute question, veuillez communiquer avec la ligne d'assistance 01 43 63 23 00 (appel local sans frais).
Merci pour votre confiance;
Crédit Agricole.",邮件,Crédit Agricole,以DSP2强认证合规为名，诱骗客户点击假链接激活手机号，泄露账户凭据,Crédit Agricole官方安全页公示的DSP2钓鱼邮件截图原文，含语法错误'afin de rester'小写开头,是,https://www.credit-agricole.fr/particulier/cybersecurite/alertes-phishing-email.html,A级官方来源
示例150,Activation SécuriPass,邮件,Crédit Agricole,以激活SécuriPass强认证服务为主题行的钓鱼邮件,Crédit Agricole官方列出的当前常见钓鱼邮件主题行之一,是,https://www.credit-agricole.fr/particulier/cybersecurite/alertes-phishing-email.html,A级官方来源
示例151,Alerte de sécurité,邮件,Crédit Agricole,以安全警报为主题行的钓鱼邮件，制造紧迫感,Crédit Agricole官方列出的当前常见钓鱼邮件主题行之一,是,https://www.credit-agricole.fr/particulier/cybersecurite/alertes-phishing-email.html,A级官方来源
示例152,Refonte de site,邮件,Crédit Agricole,以网站改版为主题行的钓鱼邮件，诱骗重新登录验证,Crédit Agricole官方列出的当前常见钓鱼邮件主题行之一,是,https://www.credit-agricole.fr/particulier/cybersecurite/alertes-phishing-email.html,A级官方来源
示例153,"De : Lcl Info.lcl.sav@gmail.com
Objet : [Info] Vous êtes en ligne avec un conseiller lcl

Vous êtes en ligne avec un conseiller du Crédit Lyonnais

Bonjour Madame (NOM PRENOM),

Suite à la détection d'une activité inhabituelle sur votre compte, notre banque applique une procédure très stricte pour garantir votre sécurité.

Nous vous demandons de collaborer avec notre conseiller en ligne pour effectuer un virement. Cette opération est nécessaire pour sécuriser vos fonds.

Voici votre RIB :

Que faire maintenant :
1. Suivre les indications du conseiller anti-fraude afin que votre compte soit en sécurité.
2. Surveillez vos comptes via notre application mobile ou en ligne pour toute transaction suspecte.
3. En attendant, par mesure de précaution, nous avons temporairement limité l'usage de votre carte.

Nous vous prions de nous excuser pour la gêne occasionnée et vous assurons que votre sécurité est notre priorité.

Merci de votre coopération.
L'équipe Crédit Lyonnais

Pour toute autre question, contactez-nous à l'adresse suivante : anti-fraude@lcl.fr",邮件,LCL (Crédit Lyonnais),假邮件声称检测到异常活动，引导受害者与假'反欺诈顾问'协作转账到假RIB以'保护资金',LCL官方安全页公示的钓鱼邮件截图原文，发件人为gmail.com而非lcl.fr，属典型假顾问诈骗,是,https://www.lcl.fr/mag/tendances/phishing-que-faire-en-cas-de-reception-dun-e-mail-frauduleux-,A级官方来源
示例154,"De : Lcl service.lcl.sav@gmail.com
Objet : [Action Requise] Confirmation d'annulation de paiement

Confirmation d'annulation de paiement

Bonjour Madame (NOM PRENOM),

Nous vous confirmons l'annulation de votre paiement récent. Cette opération a été traitée avec succès et aucun montant n'a été débité de votre compte.

Pour renforcer la sécurité de vos fonds, nous vous demandons de cesser l'utilisation de votre carte pour tout paiement en ligne. Votre carte reste toutefois fonctionnelle pour les transactions dans les commerces de proximité.

Cette mesure est essentielle pour garantir la sécurité de vos fonds. Nous vous remercions de votre compréhension et coopération.

Détails de l'annulation :
1. Commerçant :
2. Montant :
3. Lieu :
4. Date de l'opération :

Merci de votre coopération.
L'équipe Credit Lyonnais",邮件,LCL (Crédit Lyonnais),假邮件声称已取消一笔支付，要求受害者停止线上用卡并点击链接填写所谓'取消详情'以窃取卡信息,LCL官方安全页公示的钓鱼邮件截图原文，发件人为service.lcl.sav@gmail.com,是,https://www.lcl.fr/mag/tendances/phishing-que-faire-en-cas-de-reception-dun-e-mail-frauduleux-,A级官方来源
示例155,"[LCL] - Alerte Sécurité
Une tentative de paiement non reconnue a été détectée sur votre compte.

Montant : 693,45 €

Bénéficiaire : Inconnu

Si vous n'êtes pas à l'origine de cette opération, merci de contacter immédiatement notre service de sécurité au 0189623343.

Client :",短信,LCL,假SMS声称检测到693.45欧元异常支付，诱导受害者拨打假安全号码0189623343,LCL官方smishing指南页公示的真实钓鱼SMS截图原文,是,https://www.lcl.fr/mag/tendances/le-smishing-ne-tombez-pas-dans-le-piege-de-la-fraude-par-sms,A级官方来源
示例156,"bonjour maman/papa.
mon téléphone est cassé. c'est mon nouveau numéro de téléphone. +33 [masqué] vous pouvez enregistrer ceci. envoie moi un message via whatsapp.",短信,受害者子女身份,冒充子女发短信称手机坏了换号，诱导父母WhatsApp联系后以紧急用钱为由诈骗转账,LCL官方公示的假SMS截图原文（来源Cybermalveillance.gouv.fr）,是,https://www.lcl.fr/mag/tendances/coucou-maman-papa-jai-un-probleme-ne-tombez-pas-dans-le-piege-de-cette-arnaque-par-sms,A级官方来源
示例157,"Coucou maman, c'est moi. J'ai eu un problème avec mon numéro de téléphone, c'est mon numéro temporaire.
Envoie moi un message sur WhatsApp, sur ce numéro le plus rapidement possible ! Je ne pourrai plus te répondre ici comme je n'ai pas de crédit, je dois te parler de quelque chose...",短信,受害者子女身份,冒充子女称临时号码、无话费，诱导父母转移到WhatsApp后实施情感诈骗,LCL官方公示的假SMS截图原文（来源Cybermalveillance.gouv.fr）,是,https://www.lcl.fr/mag/tendances/coucou-maman-papa-jai-un-probleme-ne-tombez-pas-dans-le-piege-de-cette-arnaque-par-sms,A级官方来源
示例158,"Papa, j'ai perdu mon téléphone c'est mon nouveau numéro enregistre le et envoie moi un message à ce numéro sur Whatsapp dès que ta reçu mon message.",短信,受害者子女身份,假子女SMS诱导父母在WhatsApp加新号码，后续以紧急用钱为由诈骗,Orange官网安全文章逐字引用的真实钓鱼SMS原文,是,https://tech.orange.fr/vie-digitale/securite/article-hello-papa-hello-maman-j-ai-perdu-mon-telephone-l-arnaque-qui-joue-sur-vos-sentiments-CNT0000029ICK9.html,A级官方来源
示例159,"#NomBanque Un Paiement de 777,77 EUR est en cours. Ce n'est pas vous ? appelez-le <numerofraudeur>",短信,法国银行（SG等）,假SMS声称有777.77欧元支付正在进行，诱导受害者回拨诈骗号码（无链接，纯vishing引流）,Société Générale官方安全页公示的smishing原文示例,是,https://m.societegenerale.fr/securite/dernieres-menaces-identifiees,A级官方来源
示例160,"Bonjour, j'ai un colis pour vous, il ne rentre pas dans votre boîte aux lettres. Vous êtes chez vous ?",短信,快递员（Colissimo/Chronopost等）,AI驱动的对话式smishing第一步，以包裹无法入箱为由开启对话,Société Générale官方安全页公示的对话式smishing三步示例第1步,是,https://m.societegenerale.fr/securite/dernieres-menaces-identifiees,A级官方来源
示例161,"Bien reçu, pouvez-vous reprogrammer la livraison ?",短信,快递员,对话式smishing第2步，诱导受害者回复以建立互动,Société Générale官方安全页公示的对话式smishing三步示例第2步,是,https://m.societegenerale.fr/securite/dernieres-menaces-identifiees,A级官方来源
示例162,Merci de confirmer vos instructions de livraison ici : [lien frauduleux],短信,快递员,对话式smishing第3步，在建立信任后发送欺诈链接窃取个人信息,Société Générale官方安全页公示的对话式smishing三步示例第3步,是,https://m.societegenerale.fr/securite/dernieres-menaces-identifiees,A级官方来源
示例163,Pass Sécurité,邮件,Société Générale,以Pass Sécurité为主题行的钓鱼邮件，诱骗安装假安全服务,Société Générale官方安全页列出的钓鱼邮件主题示例,是,https://m.societegenerale.fr/securite/dernieres-menaces-identifiees,A级官方来源
示例164,Découvrez le PASS,邮件,Société Générale,以推广Pass服务为名的钓鱼邮件主题行,Société Générale官方安全页列出的钓鱼邮件主题示例,是,https://m.societegenerale.fr/securite/dernieres-menaces-identifiees,A级官方来源
示例165,Activer votre nouveau service,邮件,Société Générale,以激活新服务为名的钓鱼邮件主题行,Société Générale官方安全页列出的钓鱼邮件主题示例,是,https://m.societegenerale.fr/securite/dernieres-menaces-identifiees,A级官方来源
示例166,"Hier à 17h32 un achat de billet d'avion a été réalisé à l'aide de votre carte bancaire 4*** **** **** **** pour un montant de 229,00 euros",邮件,Enquête CB / chargé de transactions litigieuses,假'银行卡调查'邮件声称发生229欧元机票购买，制造恐慌诱导点击链接,Boursorama Banque官网安全文章逐字引用的钓鱼邮件原文（经Midi Libre报道）,是,https://www.boursorama.com/patrimoine/actualites-amp/arnaque-attention-a-ce-faux-mail-qui-pretend-que-vous-avez-achete-des-billets-d-avion-d3ea9add510682d35ff15ebc757da051,A级官方来源
示例167,"Si vous n'êtes pas à l'origine de cet achat, il vous suffit de cliquer ici. Sans action de votre part avant 17h32 aujourd'hui, l'achat sera considéré comme légitime et votre carte bancaire sera débitée",邮件,Enquête CB / chargé de transactions litigieuses,假邮件以24小时时限施压，诱导受害者点击欺诈链接输入银行卡信息,Boursorama Banque官网安全文章逐字引用的钓鱼邮件原文,是,https://www.boursorama.com/patrimoine/actualites-amp/arnaque-attention-a-ce-faux-mail-qui-pretend-que-vous-avez-achete-des-billets-d-avion-d3ea9add510682d35ff15ebc757da051,A级官方来源
示例168,"Ulys Peage : un solde de 6,80 euros reste dû.",短信,Ulys / Vinci Autoroutes（电子通行服务）,假SMS声称通行费欠费6.80欧元，附期限和链接诱导支付以窃取银行卡信息,Free门户网站安全文章引用Ulys官方确认的钓鱼SMS原文,是,https://portail.free.fr/actualites/eco/ulys-peage-attention-a-cette-arnaque-qui-peut-vider-votre-compte-en-banque/,A级官方来源
示例169,Dernier rappel avant fermeture,短信,各类机构（银行/运营商/行政）,smishing典型恐吓话术，以'关闭前最后通知'制造紧迫感,Orange Pro官方smishing指南引用的典型诈骗SMS话术原文,是,https://pro.orange.fr/lemag/smishing-sms-frauduleux-que-faire-CNT000002iKzi1.html,A级官方来源
示例170,Votre paiement est en attente,短信,各类商户/银行,smishing典型话术，以支付待处理为由诱导点击链接,Orange Pro官方smishing指南引用的典型诈骗SMS话术原文,是,https://pro.orange.fr/lemag/smishing-sms-frauduleux-que-faire-CNT000002iKzi1.html,A级官方来源
示例171,Votre colis est retenu,短信,快递公司（Colissimo/Chronopost等）,smishing典型话术，以包裹被扣为由诱导点击链接处理,Orange Pro官方smishing指南引用的典型诈骗SMS话术原文,是,https://pro.orange.fr/lemag/smishing-sms-frauduleux-que-faire-CNT000002iKzi1.html,A级官方来源
示例172,Nouvelle tentative de connexion sur votre compte,短信,银行/在线服务,smishing典型话术，以新登录警报为由诱导点击链接验证账户,Orange Pro官方smishing指南引用的典型诈骗SMS话术原文,是,https://pro.orange.fr/lemag/smishing-sms-frauduleux-que-faire-CNT000002iKzi1.html,A级官方来源
示例173,"Félicitations, vous avez gagné un iPhone !",短信,抽奖/促销活动,smishing典型利诱话术，以中奖iPhone为由诱导填写个人/银行卡信息,Orange Pro官方smishing指南引用的典型诈骗SMS话术原文,是,https://pro.orange.fr/lemag/smishing-sms-frauduleux-que-faire-CNT000002iKzi1.html,A级官方来源
示例174,Appelez ce numéro immédiatement,短信,客服/反欺诈部门,smishing/vishing引流话术，诱导回拨假客服号码,Orange Pro官方smishing指南引用的典型诈骗SMS话术原文,是,https://pro.orange.fr/lemag/smishing-sms-frauduleux-que-faire-CNT000002iKzi1.html,A级官方来源
示例175,"Crédit Agricole
Votre Compte a été bloqué par notre service.
Débloquer votre compte en vous (Re)enregistrant à SecuriPass sur
https://secu.c-agricole.link/",短信,Crédit Agricole,假SMS声称账户被冻结，诱导点击secu.c-agricole.link假站重新注册SécuriPass窃取凭据,Orange官网网络安全指南页（引自cybermalveillance.fr）公示的真实钓鱼SMS截图,是,https://cybersecurite.orange.fr/la-cybersecurite/arnaques-en-ligne/arnaques-a-lhameconnage-le-guide-ultime.html,A级官方来源
示例176,"Crit'Air :
Nos agents ont constaté que votre véhicule n'était pas muni de la vignette règlementaire Crit'Air 2022
veuillez la récupérer sous peine de contravention dans les prochaines 48 h
sur le lien ci-joint :
https://critair-f____.com/",短信,Crit'Air / 空气质量标志办理,假SMS以环保标志缺失将被罚为由，48小时内诱导点击假站办理,Orange官网网络安全指南页（引自cybermalveillance.fr）公示的真实钓鱼SMS截图,是,https://cybersecurite.orange.fr/la-cybersecurite/arnaques-en-ligne/arnaques-a-lhameconnage-le-guide-ultime.html,A级官方来源；变体
示例177,confidentiel,邮件,银行,钓鱼邮件典型开头话术，以'机密'吸引注意力,Crédit Agricole官网安全文章指出以此类词开头的邮件99%为钓鱼,是,https://headless-content-pilote.credit-agricole.fr/particulier/conseils/magazine/tout-un-mag/tentative-de-phising-comment-les-reperer.html,A级官方来源
示例178,nous avons remarqué un problème sur votre compte,邮件,银行,钓鱼邮件典型恐吓开头，声称账户存在问题,Crédit Agricole官网安全文章引用的典型钓鱼邮件开场话术,是,https://headless-content-pilote.credit-agricole.fr/particulier/conseils/magazine/tout-un-mag/tentative-de-phising-comment-les-reperer.html,A级官方来源
示例179,votre carte bancaire est suspendue,邮件,银行,钓鱼邮件典型恐吓话术，声称银行卡被冻结,Crédit Agricole官网安全文章引用的典型钓鱼邮件话术,是,https://headless-content-pilote.credit-agricole.fr/particulier/conseils/magazine/tout-un-mag/tentative-de-phising-comment-les-reperer.html,A级官方来源
示例180,veuillez valider ce remboursement,邮件,银行/税务/社保,钓鱼邮件典型话术，以退款需验证为由诱导点击,Crédit Agricole官网安全文章引用的典型钓鱼邮件话术,是,https://headless-content-pilote.credit-agricole.fr/particulier/conseils/magazine/tout-un-mag/tentative-de-phising-comment-les-reperer.html,A级官方来源
示例181,De : Agence du Crédit Agricole <capsule-123456-qqr@xxxx.com>,邮件,Crédit Agricole,假发件人显示名'Agence du Crédit Agricole'但真实邮箱为capsule-123456-qqr@xxxx.com,Crédit Agricole官网安全文章给出的钓鱼发件人伪装示例,是,https://headless-content-pilote.credit-agricole.fr/particulier/conseils/magazine/tout-un-mag/tentative-de-phising-comment-les-reperer.html,A级官方来源
示例182,Votre compte pourrait être suspendu sans intervention de votre part,邮件,Canal+,假Canal+邮件主题行，声称账户将被暂停，诱导48小时内更新支付信息,SFR Actus官网安全文章引用Canal+确认的钓鱼邮件主题行,是,https://actus.sfr.fr/tech/news/abonne-canal-attention-a-cette-nouvelle-arnaque_AN-202504070004.html,A级官方来源
示例183,Netflix apprécie vos commentaires,邮件,Netflix Surveys,假Netflix调查邮件主题行，以满意度调查为名收集个人/银行卡信息,SFR Actus官网安全文章引用Netflix France警告的钓鱼邮件主题行,是,https://actus.sfr.fr/guide-et-comparatif/streaming-vod/netflix-la-plateforme-met-en-garde-face-a-une-nouvelle-arnaque-aux-sondages_AN-202302260003.html,A级官方来源
示例184,le paiement a été validé avec succès,邮件,银行/支付服务,假邮件声称某笔支付已成功验证，制造恐慌诱导回拨假'救援号码',SFR Actus官网安全文章描述的钓鱼邮件原文措辞,是,https://actus.sfr.fr/tech/news/securite-attention-a-cette-arnaque-par-mail-pretextant-un-paiement-valide_AN-202511090004.html,A级官方来源
示例185,MonConseiller,短信,银行/客服,smishing中伪装的发件人名称，冒充'我的顾问',Orange Pro官方smishing指南列出的可疑发件人名称示例,是,https://pro.orange.fr/lemag/smishing-sms-frauduleux-que-faire-CNT000002iKzi1.html,A级官方来源
示例186,SupportLivraison,短信,快递客服,smishing中伪装的发件人名称，冒充'配送支持',Orange Pro官方smishing指南列出的可疑发件人名称示例,是,https://pro.orange.fr/lemag/smishing-sms-frauduleux-que-faire-CNT000002iKzi1.html,A级官方来源
示例187,Cher client,邮件,银行,钓鱼邮件典型匿名称呼，几乎不指名道姓,Crédit Agricole官网安全文章指出钓鱼邮件多以'Cher client'等泛称开头,是,https://headless-content-pilote.credit-agricole.fr/particulier/conseils/magazine/tout-un-mag/tentative-de-phising-comment-les-reperer.html,A级官方来源
示例188,"Madame, Monsieur",邮件,银行/行政,钓鱼邮件典型匿名称呼，未个性化,"Crédit Agricole官网安全文章指出钓鱼邮件多以'Madame, Monsieur'等泛称开头",是,https://headless-content-pilote.credit-agricole.fr/particulier/conseils/magazine/tout-un-mag/tentative-de-phising-comment-les-reperer.html,A级官方来源
示例189,Compte verrouillé,短信,Crédit Agricole,smishing典型主题，声称账户被锁定,Crédit Agricole官方列出的smishing常见主题之一,是,https://www.credit-agricole.fr/particulier/cybersecurite/alertes-phishing-sms.html,A级官方来源
示例190,Message à consulter,短信,Crédit Agricole,smishing典型主题，声称有消息待查阅,Crédit Agricole官方列出的smishing常见主题之一,是,https://www.credit-agricole.fr/particulier/cybersecurite/alertes-phishing-sms.html,A级官方来源
示例191,Mise à jour d'informations,短信,Crédit Agricole,smishing典型主题，以信息更新为由诱导点击链接,Crédit Agricole官方列出的smishing常见主题之一,是,https://www.credit-agricole.fr/particulier/cybersecurite/alertes-phishing-sms.html,A级官方来源
示例192,Annulation action,邮件,CIC / 银行,假'外部转账通知'邮件中嵌入的欺诈链接文字，诱导点击取消动作,CIC官方安全页描述假转账通知钓鱼邮件中使用的链接文字,是,https://www.cic.fr/fr/particuliers/comptes/alerte-fraude-phishing-avis-virement-externe.html,A级官方来源
示例193,vous proposez de mettre à jour votre carte Vitale,短信,Assurance Maladie / CPAM,假SMS诱导更新医保卡，点击链接窃取个人及银行卡信息,Crédit Mutuel官方安全页描述的'Carte Vitale' smishing诈骗话术,是,https://www.creditmutuel.fr/cmag/fr/particuliers/comptes/alerte-fraude-arnaque-sms-mise-jour-carte-vitale.html,A级官方来源
示例194,votre compte ou l'un de vos contrats à la banque va être clôturé,邮件,Crédit Mutuel / 银行,假邮件声称账户/合同将被关闭，诱导点击链接'解决情况'窃取凭据,Crédit Mutuel官方安全页描述的'账户关闭'钓鱼邮件话术,是,https://www.creditmutuel.fr/cmne/fr/le-mag/alerte-fraude-phishing-fermeture-compte.html,A级官方来源
示例195,votre colis (numéro de colis indiqué) est soumis à des frais de douane,短信,海关/快递公司,假SMS声称包裹需缴纳关税，诱导点击链接支付,CIC官方安全页描述的'关税'smishing诈骗话术,是,https://www.cic.fr/fr/particuliers/comptes/alerte-fraude-sms-frais-douane.html,A级官方来源
示例196,un remboursement d'un trop-perçu est en attente de validation,邮件,Sécurité sociale / Caf / Pôle emploi / fisc,假行政邮件声称多缴款项待退还，诱导点击链接填写银行信息,Crédit Agricole官网安全文章描述的假退款诈骗话术,是,https://vitrines.credit-agricole.fr/particulier/conseils/magazine/tout-un-mag/arnaques-aux-faux-remboursements.html,A级官方来源
示例197,il faut régler les frais d'expédition pour votre nouvelle carte vitale,短信,Sécurité sociale (Ameli),假SMS/邮件以新医保卡需付运费为由诱导支付,Crédit Agricole官网安全文章描述的假退款/医保卡诈骗话术,是,https://vitrines.credit-agricole.fr/particulier/conseils/magazine/tout-un-mag/arnaques-aux-faux-remboursements.html,A级官方来源
示例198,facture Netflix impayée,短信,Netflix,假SMS声称Netflix账单未付，诱导点击链接更新支付方式,Orange官网网络安全指南描述的smishing典型场景,是,https://cybersecurite.orange.fr/la-cybersecurite/arnaques-en-ligne/arnaques-a-lhameconnage-le-guide-ultime.html,A级官方来源
示例199,votre colis n'a pas pu être livré,短信,快递公司,假SMS声称包裹无法投递，诱导点击链接重新安排配送,Orange Cybersecurite官网文章描述的配送类smishing话术,是,https://cybersecurite.orange.fr/la-cybersecurite/arnaques-en-ligne/recrudescence-des-arnaques-a-la-livraison-verifier-les-sms-douteux-avant-de-cliquer.html,A级官方来源
示例200,il ne rentrait pas dans la boîte aux lettres,语音,快递员,假语音留言（vishing/voicemail）以包裹无法入箱为由诱导后续SMS点击,Orange官网安全文章引用的假快递语音留言原文,是,https://tech.orange.fr/securite/mes-donnees/c-est-fait-les-arnaques-au-livreur-franchissent-une-etape-que-vous-n-avez-jamais-vue-ou-entendue-CNT000002pRrn2.html,A级官方来源
示例201,"Nous vous informons que la marque est actuellement utilisée dans le cadre d'une campagne d'hameçonnage. Il est possible que vous receviez des e-mails ou SMS frauduleux imitant les e-mails/SMS Ulys ou de Vinci Autoroutes (couleurs, logo...).",邮件,Ulys / Vinci Autoroutes,Ulys官方声明确认品牌被用于钓鱼活动，仿冒邮件/SMS使用其颜色和logo,Free门户网站引用Ulys官网的官方声明原文,是,https://portail.free.fr/actualites/eco/ulys-peage-attention-a-cette-arnaque-qui-peut-vider-votre-compte-en-banque/,A级官方来源
示例202,"Un prétendu courrier de l'Assurance Maladie invite à suivre une procédure en scannant un QR code dans les 72 heures. Dans le cas contraire, le compte Ameli pourrait être suspendu temporairement.",邮件,Assurance Maladie / Ameli,假信件要求72小时内扫描QR码，否则Ameli账户将被暂停（quishing）,Free门户网站引用CNAM官方确认为钓鱼的信件内容,是,https://portail.free.fr/actualites/eco/carte-vitale-attention-a-ce-courrier-cest-une-arnaque/,A级官方来源
示例203,"Des mails frauduleux prétendent mener une enquête pour blanchiment d'argent et incitent à contacter les expéditeurs. Ils utilisent des domaines officiels (interieur.gouv.fr, justice.gouv.fr), des entêtes et signatures authentiques pour paraître crédibles.",邮件,"法国内政部/司法部（interieur.gouv.fr, justice.gouv.fr）",假邮件声称反洗钱调查，使用官方政府域名和真实抬头诱导联系,Société Générale专业客户安全页公示的最新威胁描述,是,https://professionnels.secure.societegenerale.fr/securite/dernieres-menaces-identifiees,A级官方来源
示例204,"De: Banque Populaire <service@banquepopulaire-notif.fr>
Objet: Confirmation de virement - 1 890,00 EUR vers IBAN étranger

Bonjour,

Un virement de 1 890,00 EUR a été initié depuis votre compte vers le bénéficiaire suivant : Marco R. (IT68 S054 2811 1010 0000 0123 456).

Si vous n'êtes pas à l'origine de cette opération, annulez-la immédiatement :
[Annuler ce virement]

Passé un délai de 2 heures, le virement sera irrévocable.",邮件,Banque Populaire,谎称有一笔境外汇款待确认，制造恐慌诱导点击假网站窃取网银账号,发件域名banquepopulaire-notif.fr非官方域名；2小时紧急时限；银行不会通过邮件取消汇款,是,mailarnaque.fr - https://www.mailarnaque.fr/blog/exemples-emails-frauduleux-france,B级第三方来源
示例205,"De: Centre de prélèvement <recouvrement@sepa-recouvrement.eu>
Objet: REJET - Prélèvement SEPA du 15/03/2026 refusé par votre banque

Madame, Monsieur,

Le prélèvement SEPA de 127,40 EUR présenté le 15/03/2026 (Réf. PRLV-2026-98271) a été rejeté par votre établissement bancaire pour provision insuffisante.

Afin d'éviter des frais d'impayé (15,00 EUR) et une interruption de service, veuillez mettre à jour votre moyen de paiement :
[Régulariser mon prélèvement]",邮件,SEPA/第三方催收,谎称自动扣款失败，威胁滞纳金，诱导更新银行卡信息,发件域名sepa-recouvrement.eu非官方；无具体债权人名称；扣款失败应由银行通知而非第三方,是,mailarnaque.fr - https://www.mailarnaque.fr/blog/exemples-emails-frauduleux-france,B级第三方来源
示例206,"De: Cabinet Martin - Gestion immobiliere <contact@cabinet-martin-immo.fr>
Objet: Changement de coordonnées bancaires pour votre loyer

Cher(e) locataire,

Nous vous informons que nos coordonnées bancaires ont changé suite à une restructuration interne. Veuillez noter notre nouveau RIB pour le virement de votre prochain loyer :

IBAN : FR76 3000 4028 3700 0100 0943 267
BIC : BNPAFRPPXXX

Merci de bien vouloir mettre à jour vos virements automatiques dès maintenant.

Cordialement,
Cabinet Martin",邮件,房产管理公司/Cabinet Martin,冒充房东或供应商通知更改RIB，诱导租客将房租汇入诈骗账户,仅凭邮件要求更改RIB；域名cabinet-martin-immo.fr与官方域名可能近似；无电话或邮寄确认,是,mailarnaque.fr - https://www.mailarnaque.fr/blog/exemples-emails-frauduleux-france,B级第三方来源
示例207,"De: Ameli.fr - Assurance Maladie <remboursement@ameli-assurance.com>
Objet: Remboursement en attente : 143,80 EUR - Dossier n°AM-2026-7741

Bonjour,

Après analyse de vos derniers remboursements, un montant de 143,80 EUR reste à vous verser. Pour le recevoir, veuillez mettre à jour vos coordonnées bancaires :
[Mettre à jour mes coordonnées]

Important : Ce remboursement sera annulé après le 22/03/2026 si vos coordonnées ne sont pas confirmées.

Votre Assurance Maladie",邮件,Ameli/Assurance Maladie,冒充医保局谎称有待报销款，诱导更新银行账户信息,发件域名ameli-assurance.com非官方（官方为assurance-maladie.ameli.fr）；Ameli从不通过邮件索要银行信息；设到期时限制造紧迫,是,mailarnaque.fr - https://www.mailarnaque.fr/blog/exemples-emails-frauduleux-france,B级第三方来源
示例208,"De: CAF - Votre espace <prime@caf-allocations.fr>
Objet: Prime d'activité : vous avez droit à 312,00 EUR

Bonjour,

Suite à la revalorisation des aides sociales 2026, vous êtes éligible à une prime d'activité exceptionnelle de 312,00 EUR.

Pour en bénéficier, confirmez votre dossier avant le 20/03/2026 :
[Valider ma prime d'activité]

Caisse d'Allocations Familiales",邮件,CAF（家庭补助金库）,冒充CAF谎称符合特殊津贴条件，诱导点击链接验证,发件域名caf-allocations.fr非官方（官方caf.fr）；津贴不会通过邮件点击发放；人为时限压力,是,mailarnaque.fr - https://www.mailarnaque.fr/blog/exemples-emails-frauduleux-france,B级第三方来源
示例209,"De: France Identité <service@france-identite-gouv.fr>
Objet: Votre carte d'identité expire bientôt - Pré-demande en ligne

Bonjour,

Votre carte nationale d'identité (n° XXX) arrive à expiration le 15/04/2026.

Pour faciliter votre renouvellement, effectuez votre pré-demande en ligne et recevez votre nouveau titre en 15 jours :
[Faire ma pré-demande]

Frais de traitement accéléré : 29,90 EUR

Service France Identité",邮件,France Identité/ANTS,冒充身份证续期服务，收取高额加急费,域名france-identite-gouv.fr非官方（官方france-identite.gouv.fr）；法国身份证免费办理；不存在邮件加急付费,是,mailarnaque.fr - https://www.mailarnaque.fr/blog/exemples-emails-frauduleux-france,B级第三方来源
示例210,"De: Amazon.fr <commandes@amazon-commandes.fr>
Objet: Confirmation de commande n°402-7891234-5678901 - 489,99 EUR

Bonjour,

Merci pour votre commande ! Votre iPhone 15 Pro (489,99 EUR) sera expédié sous 24 heures.

Si vous n'êtes pas à l'origine de cette commande, annulez-la immédiatement :
[Annuler cette commande]

Amazon.fr - Service Clients",邮件,Amazon,谎称下单高价商品，利用取消订单的恐慌诱导点击假网站,域名amazon-commandes.fr非官方（官方amazon.fr）；高价商品制造恐慌；取消链接指向钓鱼网站,是,mailarnaque.fr - https://www.mailarnaque.fr/blog/exemples-emails-frauduleux-france,B级第三方来源
示例211,"De: Vinted <transactions@vinted-secure.com>
Objet: Paiement reçu pour votre article - 45,00 EUR

Bonjour,

L'acheteur a procédé au paiement de 45,00 EUR pour votre article ""Veste Zara taille M"".

Pour recevoir les fonds sur votre portefeuille Vinted, confirmez l'envoi :
[Confirmer et recevoir le paiement]

Vinted - Service des transactions",邮件,Vinted,冒充Vinted通知卖家买家已付款，诱导点击外部链接确认,域名vinted-secure.com非官方；Vinted交易在应用内完成，从不通过外部邮件链接确认,是,mailarnaque.fr - https://www.mailarnaque.fr/blog/exemples-emails-frauduleux-france,B级第三方来源
示例212,"De: Comptabilité Durand SARL
<compta@durand-sarl-facture.fr>
Objet: RAPPEL - Facture n°FA-2026-0417 impayée - Échéance dépassée

Madame, Monsieur,

Sauf erreur de notre part, la facture n°FA-2026-0417 d'un montant de 2 340,00 EUR TTC reste impayée à ce jour.

Veuillez trouver ci-joint le duplicata de la facture.
[Facture-FA-2026-0417.pdf.exe]

Merci de procéder au règlement dans les meilleurs délais.",邮件,Durand SARL（虚假公司账单）,发送含恶意附件的虚假账单，.pdf.exe伪装文件传播木马,发件方不明且无商业关系；附件为.pdf.exe双扩展名可执行文件；无可靠联系方式,是,mailarnaque.fr - https://www.mailarnaque.fr/blog/exemples-emails-frauduleux-france,B级第三方来源
